z0,zd,Kp,Ki,Kd,overshoot_pct,rise_time,settling_time,itae,cost
0,0.5,44.0551069345132,13.1758359069362,27.8080314780743,0,1.79026314742386,3.167589036702,0.306594223737952,0.306594223737952
0,1,51.6819692519824,13.2035543403249,16.8526692322099,0.00526852538589306,0.769522983436492,1.41588911226245,0.130231785533378,0.130231785533378
0,1.5,59.3500186758297,12.6147820867264,13.9516130820739,0.114459118405626,0.385191962486322,0.588445806532847,0.0686732713602303,0.0686732713602303
0,2,50.8258671997414,8.19970292642644,13.8527446193992,0.110221197178384,0.415049210274274,0.682195277542533,0.121395720246909,0.121395720246909
0,3,82.6655961927514,4.45611245173822,28.2504086188157,0.116128827178012,0.47988949861744,0.83075439543219,0.274040712854433,0.274040712854433
0,4,87.5156717896452,2.9346,34.2501798678716,0.746610909577994,0.585170443978503,0.927634159535709,0.491819165896571,0.492457410752331
0.25,0.5,102.26448,13.0689123860523,57.0628570787516,0,3.41308522349258,8,0.685972173711979,0.686014865029449
0.25,1,40.3512510934268,13.2057,17.3385778302482,0.00419888604910046,1.13075656272722,1.85550733566757,0.188008338368076,0.188027755323791
0.25,1.5,56.7732696877184,13.198954818119,14.1170453781665,0.00544791157291632,0.577420669853629,0.949144963236562,0.0931009773932742,0.0931009773932742
0.25,2,56.1782285246467,9.98309534413093,14.2829604807952,0.00497472661500353,0.395774573838331,0.630051871181946,0.0933588525663106,0.0933588525663106
0.25,3,74.0025005955279,5.24710679529587,23.8000920254287,1.54891410825747,0.476093441376055,0.751204582961941,0.240803076859827,0.240803076859827
0.25,4,86.096302035269,3.23881888333983,32.5659356728901,0.89529205189689,0.581106331191406,0.884597005861399,0.435998308650007,0.435998308650007
0.5,1,44.0446962499392,13.1253125143011,28.0917218932053,0.010268746332498,1.8100834598428,2.60324339110916,0.308654467034852,0.308654467034852
0.5,1.5,40.8377951603167,13.2057,13.2556108852248,0.00206235328364575,0.744955884244842,1.23996389139307,0.12924975352427,0.12926760318724
0.5,2,88.1716246144043,12.6262941596487,21.0645413935803,0.0348070394995847,0.364959241070724,0.564793489543149,0.0681189665207957,0.0681189665207957
0.5,3,77.7096424065015,6.00992024091599,23.9807635398112,1.10018780307755,0.464660359385973,0.706047477411506,0.195873380661397,0.195873380661397
0.5,4,77.256596166888,3.53929007415136,28.5306413707627,0.1522042609853,0.534415892876442,0.849880284178166,0.372088057221136,0.372088057221136
1,0.5,98.1655699701564,13.2057,12.6974,100,0.254082682776391,8,1.1557657555102,4803.15693631344
1,1.5,43.9235724069678,13.2055890809312,27.552033261985,0.00395172075458028,1.79763728160653,2.27297185425826,0.308860667195484,0.308860667195484
1,2,55.7984645754589,13.2057,18.2110418505164,0.00211717962910196,0.804961586709488,1.18259948833886,0.130261432859288,0.130269633068591
1,3,71.0376731783675,7.10045218570959,21.2682191029255,0.0118284727273673,0.54273378849931,1.05673585571813,0.193059034648083,0.193059034648083
1,4,76.8157107628954,4.60330146271034,25.8649375019383,1.26998248581627,0.526017383080666,0.759244601783125,0.285903917366492,0.285903917366492
